id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type
1,1,Rumble,Canada,advertising/sales,mixed,"Rumble, Inc (Canada)",2013,High,Website/Video
2,2,The Last American Vagabond,USA,Unknown,Unknown,Unknown,Unknown,Unknown,Website/Video
3,3,Stone Cold Truth,USA,advertising/sales,mixed,Roger Stone,Unknown,Minimal,Website
4,4,New York Post,,,,,,,
5,5,NBC,,,,,,,
6,6,PJ Media,USA,advertising/sales,mixed,"PJ Media, LLC",2004,High,Website
7,7,Humans are Free,USA,advertising/donations,mixed,Unknown,2010,Medium,Website
8,8,Bloomberg,,,,,,,
9,9,Canada Free Press,USA,advertising,advertising,Judi McLeod?,Unknown,Medium,Website
10,10,OffGuardian,Unknown,advertising,advertising,Unknown,2015,Medium,Website
11,11,David Icke,United Kingdom,advertising/donations/sales,mixed,Ickonic Enterprises,Unknown,Unknown,Unknown
12,12,Swiss Policy Research,Unknown,organization,organization,Unknown,2016,Medium,Website
13,13,Vaccine Impact,USA,advertising,advertising,Health Impact News,Unknown,Medium,Website
14,14,USSA News,USA,advertising/donations,mixed,Unknown,2010,Medium,Website
15,15,BitChute,United Kingdom,donations/sales,mixed,Bit Chute Limited,2017,High,Website
16,16,Australian National Review,Australia,advertising/donations,mixed,,Unknown,Medium,Website
17,17,The Highwire,USA,organization,organization,Informed Consent Action Network,2004,Medium,Website
18,18,David Harris Jr,USA,advertising/fees,mixed,"DJHJ Media, LLC",Unknown,Medium,Website
19,19,ABC News,,,,,,,
20,20,The Economic Times,India,advertising,advertising,The Times Group,1961,High,Website
21,21,Zenith News,USA,sales,sales,Unknown,2017,Unknown,Unknown
22,22,Parler,USA,organization,organization,Parler LLC,2018,High,Website
23,23,Prepare for Change,Unknown,donations,donations,,2013,Unknown,Unknown
24,24,Swarajya,India,advertising,advertising,Kovai Media Private Limited,1956,Unknown,Unknown
25,25,The Vaccine Reaction,USA,organization,organization,NVIC,1995,Minimal,Organization/Foundation
26,26,BBC,,,,,,,
27,27,First Post,India,,,,,,
28,28,Daily Caller,,,,,,,
29,29,Time,,,,,,,
30,30,We Love Trump,USA,advertising/donations/sales,mixed,Unknown,2016,Medium,Website
31,31,Children's Health Defense,USA,organization,organization,,2016,Unknown,Unknown
32,32,The Hill,,,,,,,
33,33,CDC,,,,,,,
34,34,The political Insider,USA,advertising,advertising,Political Insider LLC,2006,Medium,Website
35,35,conservativedailypost.com,Unknown,advertising,advertising,Unknown,2016,Unknown,Unknown
36,36,Brand New Tube,United Kingdom,sales,sales,Unknown,2020,High,Website/Video Service
37,37,Gulf News,United Arab Emirates,advertising,advertising,Unknown,1978,Unknown,Unknown
38,38,Sputnik,Russia,advertising,advertising,Russian Government,2014,High,News Agency
39,39,LearnTheRisk.org,USA,donations,donations,Unknown,2015,Unknown,Unknown
40,40,News Punch,USA,advertising,advertising,"The People??s Voice, Inc.",2018,Medium,Website
41,41,Al Arabiya,Saudi Arabia,organization,organization,Saudi broadcaster Middle East Broadcasting Center (MBC),2004,High,TV Station
42,42,The Common Sense Show,USA,advertising/donations,mixed,Unknown,2012,Unknown,Unknown
43,43,World Truth,USA,advertising,advertising,Unknown,2011,Unknown,Unknown
44,44,neonnettle.com,United Kingdom,advertising/donations,mixed,Unknown,Unknown,Medium,Website
45,45,Fox News,,,,,,,
46,46,Real Raw News,USA,donations,donations,Unknown,2020,Medium,Website
47,47,Medical kidnap,USA,advertising,advertising,Unknown,Unknown,Medium,Website
48,48,True Pundit,USA,advertising/donations,mixed,Unknown,Unknown,Unknown,Unknown
49,49,American Action News,USA,advertising,advertising,Unknown,2013,Unknown,Unknown
50,50,Arab News,Saudi Arabia,advertising,advertising,Unknown,1975,Unknown,Unknown
51,51,Tech Startups,USA,advertising,advertising,Unknown,2017,Medium,Website
52,52,Blunt Force Truth,USA,advertising/donations/sales,mixed,"Two and Two Broadcasting, LLC",2014,Minimal,Website
53,53,Odisha Latest News Today,USA,advertising,advertising,IDG Capital (CHINA),2015,High,News App
54,54,Whale.to,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
55,55,Slate,,,,,,,
56,56,The Guardian,,,,,,,
57,57,Real Climate Science,USA,advertising/donations,mixed,Tony Heller,2015,Minimal,Website
58,58,Townhall,USA,advertising,advertising,Salem Media Group,1995,High,Website
59,59,beforeitsnews.com,USA,advertising,advertising,Unknown,2009,High,Website
60,60,Big League Politics,USA,advertising,advertising,Mustard Seed Media,Unknown,Unknown,Unknown
61,61,Gnews,USA,donations,donations,GUO.MEDIA?,2012,High,Website
62,62,Healing Oracle,Unknown,donations/sales,mixed,Unknown,2010,Unknown,Unknown
63,63,Hal Turner Radio Show,USA,advertising/donations/sales,mixed,Hal Turner?,2002,Medium,Website
64,64,The Washington Standard,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
65,65,American Truth Today,USA,advertising,advertising,Unknown,2019,Unknown,Unknown
66,66,New York Times,,,,,,,
67,67,BDNews24,Bangladesh,advertising,advertising,Toufique Imrose Khalidi,Unknown,Unknown,Unknown
68,68,RT News,Russia,organization,organization,Russian Government,2005,High,TV Station
69,69,The Corbett Report,Japan,fees/sales,mixed,James Corbett,2007,Medium,Website
70,70,TASS Russian News Agency,Russia,organization,organization,Government of Russia,1902,Unknown,Unknown
71,71,RedState,USA,advertising,advertising,Salem Media Group,2004,High,Website
72,72,X22 Report,USA,advertising/donations,mixed,David Booth,2008,Medium,Website
73,73,Americas Freedom Fighters,Unknown,advertising/sales,mixed,Unknown,2010,Unknown,Unknown
74,74,From the Trenches World Report,USA,advertising/donations,mixed,Unknown,2010,Unknown,Unknown
75,75,21st Century Wire,USA,advertising,advertising,Patrick Henningsen,,Medium,Website
76,76,Bongino.com,USA,advertising/sales,mixed,Unknown,2015,High,Website
77,77,Summit News,USA,advertising/donations,mixed,Unknown,2019,Medium,Website
78,78,Think Americana,Unknown,advertising,advertising,Unknown,2017,Unknown,Unknown
79,79,WHO,,,,,,,
80,80,Need to Know,USA,advertising,advertising,G. Edward Griffin,Unknown,Unknown,Unknown
81,81,The Truth Seeker,United Kingdom,advertising,advertising,Unknown,2011,Unknown,Unknown
