id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type,type
1,1,Rumble,Canada,advertising/sales,mixed,"Rumble, Inc (Canada)",2013,High,Website/Video,mega
2,2,The Last American Vagabond,USA,Unknown,Unknown,Unknown,Unknown,Unknown,Website/Video,politics
3,3,Stone Cold Truth,USA,advertising/sales,mixed,Roger Stone,Unknown,Minimal,Website,politics
4,4,New York Post,,,,,,,,politics
5,5,NBC,,,,,,,,mega
6,6,PJ Media,USA,advertising/sales,mixed,"PJ Media, LLC",2004,High,Website,politics
7,7,Humans are Free,USA,advertising/donations,mixed,Unknown,2010,Medium,Website,conspiracy 
8,8,Bloomberg,,,,,,,,mega
9,9,Canada Free Press,USA,advertising,advertising,Judi McLeod?,Unknown,Medium,Website,politics
10,10,OffGuardian,Unknown,advertising,advertising,Unknown,2015,Medium,Website,politics
11,11,David Icke,United Kingdom,advertising/donations/sales,mixed,Ickonic Enterprises,Unknown,Unknown,Unknown,conspiracy 
12,12,Swiss Policy Research,Unknown,organization,organization,Unknown,2016,Medium,Website,politics
13,13,Vaccine Impact,USA,advertising,advertising,Health Impact News,Unknown,Medium,Website,antivaxx campaigns
14,14,USSA News,USA,advertising/donations,mixed,Unknown,2010,Medium,Website,politics
15,15,BitChute,United Kingdom,donations/sales,mixed,Bit Chute Limited,2017,High,Website,conspiracy 
16,16,Australian National Review,Australia,advertising/donations,mixed,,Unknown,Medium,Website,conspiracy 
17,17,The Highwire,USA,organization,organization,Informed Consent Action Network,2004,Medium,Website,antivaxx campaigns
18,18,David Harris Jr,USA,advertising/fees,mixed,"DJHJ Media, LLC",Unknown,Medium,Website,conspiracy 
19,19,ABC News,,,,,,,,mega
20,20,The Economic Times,India,advertising,advertising,The Times Group,1961,High,Website,mega
21,21,Zenith News,USA,sales,sales,Unknown,2017,Unknown,Unknown,politics
22,22,Parler,USA,organization,organization,Parler LLC,2018,High,Website,politics
23,23,Prepare for Change,Unknown,donations,donations,,2013,Unknown,Unknown,conspiracy 
24,24,Swarajya,India,advertising,advertising,Kovai Media Private Limited,1956,Unknown,Unknown,politics
25,25,The Vaccine Reaction,USA,organization,organization,NVIC,1995,Minimal,Organization/Foundation,antivaxx campaigns
26,26,BBC,,,,,,,,mega
27,27,First Post,India,,,,,,,mega
28,28,Daily Caller,,,,,,,,politics
29,29,Time,,,,,,,,mega
30,30,We Love Trump,USA,advertising/donations/sales,mixed,Unknown,2016,Medium,Website,politics
31,31,Children's Health Defense,USA,organization,organization,,2016,Unknown,Unknown,antivaxx campaigns
32,32,The Hill,,,,,,,,politics
33,33,CDC,,,,,,,,government
34,34,The political Insider,USA,advertising,advertising,Political Insider LLC,2006,Medium,Website,politics
35,35,conservativedailypost.com,Unknown,advertising,advertising,Unknown,2016,Unknown,Unknown,politics
36,36,Brand New Tube,United Kingdom,sales,sales,Unknown,2020,High,Website/Video Service,conspiracy 
37,37,Gulf News,United Arab Emirates,advertising,advertising,Unknown,1978,Unknown,Unknown,politics
38,38,Sputnik,Russia,advertising,advertising,Russian Government,2014,High,News Agency,politics
39,39,LearnTheRisk.org,USA,donations,donations,Unknown,2015,Unknown,Unknown,antivaxx campaigns
40,40,News Punch,USA,advertising,advertising,"The People??s Voice, Inc.",2018,Medium,Website,conspiracy 
41,41,Al Arabiya,Saudi Arabia,organization,organization,Saudi broadcaster Middle East Broadcasting Center (MBC),2004,High,TV Station,politics
42,42,The Common Sense Show,USA,advertising/donations,mixed,Unknown,2012,Unknown,Unknown,conspiracy 
43,43,World Truth,USA,advertising,advertising,Unknown,2011,Unknown,Unknown,conspiracy 
44,44,neonnettle.com,United Kingdom,advertising/donations,mixed,Unknown,Unknown,Medium,Website,conspiracy 
45,45,Fox News,,,,,,,,mega
46,46,Real Raw News,USA,donations,donations,Unknown,2020,Medium,Website,politics
47,47,Medical kidnap,USA,advertising,advertising,Unknown,Unknown,Medium,Website,antivaxx campaigns
48,48,True Pundit,USA,advertising/donations,mixed,Unknown,Unknown,Unknown,Unknown,conspiracy 
49,49,American Action News,USA,advertising,advertising,Unknown,2013,Unknown,Unknown,politics
50,50,Arab News,Saudi Arabia,advertising,advertising,Unknown,1975,Unknown,Unknown,mega
51,51,Tech Startups,USA,advertising,advertising,Unknown,2017,Medium,Website,mega
52,52,Blunt Force Truth,USA,advertising/donations/sales,mixed,"Two and Two Broadcasting, LLC",2014,Minimal,Website,politics
53,53,Odisha Latest News Today,USA,advertising,advertising,IDG Capital (CHINA),2015,High,News App,mega
54,54,Whale.to,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,conspiracy 
55,55,Slate,,,,,,,,mega
56,56,The Guardian,,,,,,,,mega
57,57,Real Climate Science,USA,advertising/donations,mixed,Tony Heller,2015,Minimal,Website,pseudoscience 
58,58,Townhall,USA,advertising,advertising,Salem Media Group,1995,High,Website,politics
59,59,beforeitsnews.com,USA,advertising,advertising,Unknown,2009,High,Website,conspiracy 
60,60,Big League Politics,USA,advertising,advertising,Mustard Seed Media,Unknown,Unknown,Unknown,politics
61,61,Gnews,USA,donations,donations,GUO.MEDIA?,2012,High,Website,politics
62,62,Healing Oracle,Unknown,donations/sales,mixed,Unknown,2010,Unknown,Unknown,antivaxx campaigns
63,63,Hal Turner Radio Show,USA,advertising/donations/sales,mixed,Hal Turner?,2002,Medium,Website,conspiracy 
64,64,The Washington Standard,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,politics
65,65,American Truth Today,USA,advertising,advertising,Unknown,2019,Unknown,Unknown,politics
66,66,New York Times,,,,,,,,mega
67,67,BDNews24,Bangladesh,advertising,advertising,Toufique Imrose Khalidi,Unknown,Unknown,Unknown,mega
68,68,RT News,Russia,organization,organization,Russian Government,2005,High,TV Station,mega
69,69,The Corbett Report,Japan,fees/sales,mixed,James Corbett,2007,Medium,Website,conspiracy 
70,70,TASS Russian News Agency,Russia,organization,organization,Government of Russia,1902,Unknown,Unknown,mega
71,71,RedState,USA,advertising,advertising,Salem Media Group,2004,High,Website,politics
72,72,X22 Report,USA,advertising/donations,mixed,David Booth,2008,Medium,Website,conspiracy 
73,73,Americas Freedom Fighters,Unknown,advertising/sales,mixed,Unknown,2010,Unknown,Unknown,politics
74,74,From the Trenches World Report,USA,advertising/donations,mixed,Unknown,2010,Unknown,Unknown,conspiracy 
75,75,21st Century Wire,USA,advertising,advertising,Patrick Henningsen,,Medium,Website,conspiracy 
76,76,Bongino.com,USA,advertising/sales,mixed,Unknown,2015,High,Website,politics
77,77,Summit News,USA,advertising/donations,mixed,Unknown,2019,Medium,Website,conspiracy 
78,78,Think Americana,Unknown,advertising,advertising,Unknown,2017,Unknown,Unknown,politics
79,79,WHO,,,,,,,,official
80,80,Need to Know,USA,advertising,advertising,G. Edward Griffin,Unknown,Unknown,Unknown,conspiracy 
81,81,The Truth Seeker,United Kingdom,advertising,advertising,Unknown,2011,Unknown,Unknown,conspiracy 
82,82,Vice,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,mega
83,83,Science.News,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,pseudoscience 
84,84,Technocracy News,USA,donations/sales,mixed,Patrick Wood,2015,Medium,Website,conspiracy 
85,85,Breaking911,Unknown,advertising,advertising,Unknown,2011,Medium,Website,politics
86,86,Health.News,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,pseudoscience 
87,87,Washington Post,,,,,,,,mega
88,88,CNS News,USA,advertising/donations,mixed,Media Research Center,1998,Medium,Website,politics
89,89,Clover Chronicle,Unknown,advertising/donations,mixed,Unknown,2018,Unknown,Unknown,conspiracy 
90,90,Stillness in the Storm,USA,advertising/sponsor,mixed,Unknown,2015,Unknown,Unknown,conspiracy 
91,91,The DC Patriot,USA,advertising/donations/sales,mixed,America First Media,2019,Medium,Website,politics
92,92,Infinite Unknown,Unknown,donations,donations,Unknown,2000,Unknown,Unknown,conspiracy 
93,93,The Bearded Patriot,USA,advertising,advertising,Unknown,2013,Unknown,Unknown,politics
94,94,The National Pulse,USA,advertising/donations/sales,mixed,American Principles Project,2016,Medium,Website,politics
95,95,Eugenics.News,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,conspiracy 
96,96,Health Ranger Report,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,conspiracy 
97,97,Conspiracy Daily Update,USA,advertising,advertising,Unknown,2016,Minimal,Website,conspiracy 
98,98,Organic Consumers Association,USA,advertising/donations,mixed,Organic Consumers Association,1998,Unknown,Unknown,pseudoscience 
99,99,Vdare,USA,donations,donations,VDARE Foundation,1999,Unknown,Unknown,politics
100,100,Elizabeth Johnston,USA,donations,donations,Elizabeth Johnston,2016,Minimal,Website,politics
101,101,National File,USA,advertising/donations,mixed,Flyover Media LLC,2019,Medium,Website,conspiracy 
102,102,State of the Nation,USA,Unknown,Unknown,Unknown,2019,Medium,Website,politics
103,103,Press for Truth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,conspiracy 
104,104,Democratic Underground,USA,advertising,advertising,Democratic Underground LLC,2001,High,Website,politics
105,105,Nutritionfacts.org,USA,donations,donations,Michael Greger,Unknown,Medium,Website,pseudoscience 
106,106,DC Dirty Laundry,USA,advertising/sales,mixed,Dean Garrison,2018,Unknown,Unknown,conspiracy 
107,107,American Lookout,USA,advertising,advertising,Mike LaChance,2016,Unknown,Unknown,politics
108,108,Principia Scientific International,USA,donations,donations,Principia Scientific International,2010,Minimal,Website,pseudoscience 
109,109,American Thinker,USA,advertising/donations,mixed,Unknown,2003,High,Website,politics
110,110,CNN,,,,,,,,mega
111,111,FDA,,,,,,,,official
112,112,Primary Doctor Medical Journal,USA,Unknown,Unknown,Unknown,2020,Minimal,Website,pseudoscience 
113,113,News Target,USA,advertising/donations/sales,mixed,Mike Adams,Unknown,Unknown,Unknown,conspiracy 
